category,sequence,filename,folder,source_file,source_folder,source_format,source_pixels,output_pixels,output_kb,resize,jpeg_quality,icc_to_srgb,md5
Sketches,1,Fainter_Sketches_001.jpg,01_Sketches,IMG_7333.JPG,Sketches,JPEG,1814x2259,1814x2259,340.0,native (source under 2400px),88,no,4d6431787d457a4a0a3ec2b617aca95b
Sketches,2,Fainter_Sketches_002.jpg,01_Sketches,IMG_7334.JPG,Sketches,JPEG,1872x2473,1817x2400,493.2,downscaled to 2400px,88,no,a06d1b12035083126f1547d15bc77c01
Sketches,3,Fainter_Sketches_003.jpg,01_Sketches,IMG_7335.JPG,Sketches,JPEG,2305x1753,2305x1753,367.0,native (source under 2400px),88,no,9f6d270131140a13f1ba950b11e9158b
Sketches,4,Fainter_Sketches_004.jpg,01_Sketches,IMG_7336.JPG,Sketches,JPEG,2257x1672,2257x1672,329.9,native (source under 2400px),88,no,42b8e484299fdc730c2601d63059035d
Sketches,5,Fainter_Sketches_005.jpg,01_Sketches,IMG_7337.JPG,Sketches,JPEG,2303x1706,2303x1706,302.4,native (source under 2400px),88,no,36221e8560431efb527404f5d3fb3d73
Sketches,6,Fainter_Sketches_006.jpg,01_Sketches,IMG_7347.JPG,Sketches,JPEG,2281x3064,1787x2400,605.5,downscaled to 2400px,88,no,da4c583a2225bcf381e91d6e781a08cd
Sketches,7,Fainter_Sketches_007.jpg,01_Sketches,IMG_7348.JPG,Sketches,JPEG,2205x1727,2205x1727,360.6,native (source under 2400px),88,no,84bb328c232d68ec8ac3ec553b20fcc5
Sketches,8,Fainter_Sketches_008.jpg,01_Sketches,IMG_7349.JPG,Sketches,JPEG,2395x1828,2395x1828,492.2,native (source under 2400px),88,no,79ec9eec0dad334cf76ae0ac095577ba
Sketches,9,Fainter_Sketches_009.jpg,01_Sketches,IMG_7350.JPG,Sketches,JPEG,2357x1826,2357x1826,587.4,native (source under 2400px),88,no,cf5fa990dd2daf7dfc9a12829384f9a5
Sketches,10,Fainter_Sketches_010.jpg,01_Sketches,IMG_7351.JPG,Sketches,JPEG,2303x1726,2303x1726,437.9,native (source under 2400px),88,no,1aef595dbf9cbfe5125025d3f0872f55
Sketches,11,Fainter_Sketches_011.jpg,01_Sketches,IMG_7352.JPG,Sketches,JPEG,2185x2911,1801x2400,543.0,downscaled to 2400px,88,no,f82a24bf4a3550465b6763639e19a95d
Sketches,12,Fainter_Sketches_012.jpg,01_Sketches,IMG_7353.JPG,Sketches,JPEG,2189x2960,1775x2400,613.7,downscaled to 2400px,88,no,7f323a047b8bca1d8376dbc8b86225f6
Sketches,13,Fainter_Sketches_013.jpg,01_Sketches,IMG_7355.JPG,Sketches,JPEG,2405x1734,2400x1730,374.2,downscaled to 2400px,88,no,6f77bd6b0b6564b659da6968286ce920
Sketches,14,Fainter_Sketches_014.jpg,01_Sketches,IMG_7356.JPG,Sketches,JPEG,2391x1731,2391x1731,275.1,native (source under 2400px),88,no,32a5dfe0b8c4192e7f527deb5fa50122
Large Oil Paintings,1,Fainter_Large_Oil_Paintings_001.jpg,02_Large_Oil_Paintings,img093 (2).jpg,Large Oil Paintings,JPEG,5848x4697,2400x1928,888.7,downscaled to 2400px,80,no,f48cabe0ee57ddc160267b80487de425
Large Oil Paintings,2,Fainter_Large_Oil_Paintings_002.jpg,02_Large_Oil_Paintings,IMG_7056.JPG,Large Oil Paintings,JPEG,2048x2046,2048x2046,627.6,native (source under 2400px),88,no,dd201636f9f71fd08f204e55f0ec05a3
Large Oil Paintings,3,Fainter_Large_Oil_Paintings_003.jpg,02_Large_Oil_Paintings,IMG_7057.JPG,Large Oil Paintings,JPEG,2046x2048,2046x2048,765.7,native (source under 2400px),88,no,4d408c8425f260f67af9042a47e7f6e4
Large Oil Paintings,4,Fainter_Large_Oil_Paintings_004.jpg,02_Large_Oil_Paintings,IMG_7058.JPG,Large Oil Paintings,JPEG,2048x2036,2048x2036,858.1,native (source under 2400px),88,no,8b8cefada82d336a32d2283767ad2677
Large Oil Paintings,5,Fainter_Large_Oil_Paintings_005.jpg,02_Large_Oil_Paintings,IMG_7085.JPG,Large Oil Paintings,JPEG,2048x2035,2048x2035,475.3,native (source under 2400px),88,no,c5307ffbd54d3523715d4d3de64d9613
Large Oil Paintings,6,Fainter_Large_Oil_Paintings_006.jpg,02_Large_Oil_Paintings,IMG_7087.JPG,Large Oil Paintings,JPEG,2048x2023,2048x2023,514.4,native (source under 2400px),88,no,fb27ed0d848940867987b193ed4335c5
Large Oil Paintings,7,Fainter_Large_Oil_Paintings_007.jpg,02_Large_Oil_Paintings,Painting2.jpg,Large Oil Paintings,JPEG,2048x2048,2048x2048,713.0,native (source under 2400px),88,no,20663e066a91ddc7649530cb132e947d
Large Oil Paintings,8,Fainter_Large_Oil_Paintings_008.jpg,02_Large_Oil_Paintings,Painting3.jpg,Large Oil Paintings,JPEG,2048x2048,2048x2048,569.2,native (source under 2400px),88,no,48f22518ab75506598c901ee3a3c528d
Warrior Series,1,Fainter_Warrior_Series_001.jpg,03_Warrior_Series,img168.jpg,Warrior,JPEG,4491x6427,1677x2400,587.8,downscaled to 2400px,85,yes,2cf028f00d643ac4603a87c7e83f2bd6
Warrior Series,2,Fainter_Warrior_Series_002.jpg,03_Warrior_Series,img169.jpg,Warrior,JPEG,6274x4421,2400x1691,689.0,downscaled to 2400px,85,yes,f5e5551ebb5598fe9d2a1d5f3b2e0a88
Warrior Series,3,Fainter_Warrior_Series_003.jpg,03_Warrior_Series,img186.jpg,Warrior,JPEG,6399x4526,2400x1698,757.5,downscaled to 2400px,85,yes,7447342a9dade3e45fd57fc738128924
Warrior Series,4,Fainter_Warrior_Series_004.jpg,03_Warrior_Series,img187.jpg,Warrior,JPEG,6812x4127,2400x1454,753.7,downscaled to 2400px,88,yes,a9af9838f28f7317da715d81b2f49f4b
Warrior Series,5,Fainter_Warrior_Series_005.jpg,03_Warrior_Series,img188.jpg,Warrior,JPEG,6041x4603,2400x1829,822.6,downscaled to 2400px,85,yes,a502bd6c2e2b3b44c93bde17cceef9c1
Warrior Series,6,Fainter_Warrior_Series_006.jpg,03_Warrior_Series,IMG_7299.JPG,Warrior,JPEG,3046x2283,2400x1799,799.1,downscaled to 2400px,88,no,265c0be9bd7a80b4e712c75b12dd7574
Warrior Series,7,Fainter_Warrior_Series_007.jpg,03_Warrior_Series,IMG_7367.JPG,Warrior,JPEG,2309x2920,1898x2400,861.1,downscaled to 2400px,88,no,5e01c45224ad7bb042af7def49197655
Warrior Series,8,Fainter_Warrior_Series_008.jpg,03_Warrior_Series,IMG_7368.JPG,Warrior,JPEG,2863x2283,2400x1914,702.3,downscaled to 2400px,85,no,492d4c72d1b588a71e5528bf07caadad
Warrior Series,9,Fainter_Warrior_Series_009.jpg,03_Warrior_Series,IMG_7369.JPG,Warrior,JPEG,2130x2658,1923x2400,684.5,downscaled to 2400px,85,no,490ecb6322273d047fd4902e26035725
Warrior Series,10,Fainter_Warrior_Series_010.jpg,03_Warrior_Series,IMG_7370.JPG,Warrior,JPEG,2225x2814,1898x2400,820.3,downscaled to 2400px,88,no,b9e939e394e47f548153eb8f8fafdc0a
Warrior Series,11,Fainter_Warrior_Series_011.jpg,03_Warrior_Series,IMG_7375.JPG,Warrior,JPEG,2982x1755,2400x1412,356.9,downscaled to 2400px,88,no,2d46328b4131a9b3ee3e8382efea86e4
Warrior Series,12,Fainter_Warrior_Series_012.jpg,03_Warrior_Series,IMG_7376.JPG,Warrior,JPEG,3075x2157,2400x1684,468.7,downscaled to 2400px,88,no,021801be4ff4f522bc5ca3e7e33a8009
Warrior Series,13,Fainter_Warrior_Series_013.jpg,03_Warrior_Series,IMG_7377.JPG,Warrior,JPEG,1773x2332,1773x2332,617.4,native (source under 2400px),88,no,bb50b5beb0f7c46ea2abec9d7b9aa100
Warrior Series,14,Fainter_Warrior_Series_014.jpg,03_Warrior_Series,IMG_7378.JPG,Warrior,JPEG,1926x2767,1671x2400,640.4,downscaled to 2400px,88,no,d71b61ddd37a498973e95509905c3e37
